Month,Opening Date,Title,Production Company,Genre
APRIL,12,Sasquatch Sunset,Bleecker Street/Square Peg,"Comedy,Action,Adventure"
APRIL,12,Sweet Dreams,Paramount Pictures/ The Barnum Picture Company,"Comedy,Drama"
APRIL,12,Woody Woodpecker Goes to Camp,Netflix/Universal 1440 Entertainment,"Kids & Family,Comedy,Animation"
APRIL,12,"LaRoy, Texas",Brainstorm Media / Adastra Films,"Comedy,Mystery,Thriller,Crime"
APRIL,12,The Long Game,Mucho Mas Releasing /Fifth Season,"History,Drama"
APRIL,12,Arcadian,RLJE Films/Saturn Films,"Horror,Action,Mystery,Thriller"
APRIL,12,Don't Tell Mom the Babysitter's Dead,Iconic Events Releasing /BET+,Comedy
APRIL,12,Sting,See Pictures,"Horror,Mystery,Thriller"
APRIL,15,Hundreds of Beavers,FilmHub / SRH,"Comedy,Adventure"
APRIL,18,Blackbird Blackbird Blackberry,Alva Film,"Drama,Romance"
APRIL,19,Abigail,Universal Pictures/Radio Silence Productions,"Horror,Mystery,Thriller"
APRIL,19,The Ministry of Ungentlemanly Warfare,Lionsgate/Black Bear Pictures/Jerry Bruckheimer Films,"Action,Adventure,War"
APRIL,19,We Grown Now,Sony Pictures Classics/Stage 6 Films/Participant,Drama
APRIL,19,Blood for Dust,The Avenue,"Mystery,Thriller,Crime,Drama,Action"
APRIL,19,Stress Positions,Neon,"Comedy,Drama"
APRIL,19,Hard Miles,Blue Fox Entertainment,Drama
APRIL,19,Hanky Panky,A Group of Ferrets / Happy Canyon Club,"Comedy,Horror"
APRIL,23,Downtown Owl,Stage 6 Films,"Comedy,Drama"
APRIL,26,Challengers,Metro-Goldwyn-Mayer/Pascal Pictures,Drama
APRIL,26,Boy Kills World,Lionsgate/Roadside Attractions/Vertigo Entertainment,"Action,Comedy,Mystery,Thriller"
APRIL,26,Nowhere Special,RAI Cinema,Drama
APRIL,26,Unsung Hero,Lionsgate/Kingdom Story Company,"Drama,Musical"
APRIL,26,Breathe,Variance Films/Thunder Road Films,"Sci-Fi,Mystery,Thriller"
APRIL,26,Humane,IFC Films/Elevation Pictures/XYZ Films,"Sci-Fi,Mystery,Thriller"
APRIL,26,The Feeling That the Time for Doing Something Has Passed,Magnolia Pictures,"Comedy,Drama"
APRIL,26,Evil Does Not Exist,NEOPA Inc.,Drama
APRIL,26,Cash Out,Saban Films,"Action,Mystery,Thriller"
APRIL,26,Bloodline Killer,Vertical Entertainment,"Horror,Mystery,Thriller"
MAY,2,The Idea of You,Amazon MGM Studios,"Romance,Drama,Comedy"
MAY,2,Turtles All the Way Down,Max/Warner Bros. Pictures/New Line Cinema/Temple Hill Entertainment,"Drama,Romance"
MAY,3,The Fall Guy,Universal Pictures/87North Productions,"Action,Romance,Comedy,Drama"
MAY,3,Tarot,Screen Gems/Alloy Entertainment/TSG Entertainment,"Horror,Mystery,Thriller"
MAY,3,Unfrosted,Netflix/Columbus 81 Productions,Comedy
MAY,3,I Saw the TV Glow,A24/Fruit Tree/Access Entertainment,"Sci-Fi,Horror,Drama,LGBTQ+,Mystery,Thriller"
MAY,3,Wildcat,Oscilloscope Laboratories,"Biography,Drama"
MAY,3,Prom Dates,Hulu/LD Entertainment/Hartbeat Productions,Comedy
MAY,3,Chief of Station,Vertical Entertainment,"Action,Mystery,Thriller"
MAY,3,New Life,Brainstorm Media/XYZ Films,"Horror,Mystery,Thriller"
MAY,3,Lost Soulz,Kino Lorber,"Drama,Music"
MAY,4,Do Not Expect Too Much from the End of the World,Mubi,"Comedy,Drama"
MAY,9,Mother of the Bride,Netflix/Living Films,"Romance,Comedy"
MAY,10,Aisha,BBC Film,Drama
MAY,10,My Ex-Friends Wedding,Circle of Confusion,Comedy
MAY,10,Kingdom of the Planet of the Apes,20th Century Studios/TSG Entertainment,"Sci-Fi,Action,Adventure"
MAY,10,Poolman,Vertical Entertainment/AGC Studios,"Comedy,Mystery,Thriller"
MAY,10,Not Another Church Movie,Briarcliff Entertainment,Comedy
